order_id,order_date,user_id,is_prime_member,seller_id,seller_type,seller_plan,city,city_tier,category,quantity,order_value,fulfillment_type,referral_fee,fba_fee,closing_fee,shipping_fee,total_amazon_fees,gst_on_fees,seller_payout,payment_method,payment_status,delivery_days,delivery_status,refund_status,refund_amount,fraud_flag,leakage_type,leakage_amount
AMZ-IN-400028,05-04-2024 17:51,CUST-004864,0,AMZ-SEL-00463,Distributor,Professional,Bangalore,Tier 1,Automotive,1,8827.09,Easy Ship,882.71,0,12,50,944.71,170.05,7882.38,Amazon Pay,success,3,delivered,no,0,0,,0
AMZ-IN-400029,10-07-2024 10:25,CUST-004788,0,AMZ-SEL-01724,Brand/Manufacturer,Professional,Chandigarh,Tier 2,Toys & Baby,1,1407.93,FBA,168.95,55,8,0,231.95,41.75,1175.98,Debit Card,success,3,delivered,no,0,0,,0
AMZ-IN-400030,06-12-2024 13:58,CUST-000300,0,AMZ-SEL-01959,Reseller,Professional,Patna,Tier 3,Fashion & Apparel,1,1528.54,FBA,229.28,29,5,0,263.28,47.39,1265.26,COD,success,7,delivered,processed,1084.86,0,,0
AMZ-IN-400031,02-09-2024 17:15,CUST-005189,0,AMZ-SEL-01683,Reseller,Individual,Bangalore,Tier 1,Electronics,1,18228.89,Self Ship,1458.31,0,2,0,1460.31,262.86,0,Net Banking,failed,4,delivered,no,0,0,,0
AMZ-IN-400032,18-01-2024 16:00,CUST-005860,1,AMZ-SEL-00900,Brand/Manufacturer,Professional,Pune,Tier 1,Electronics,1,26256.34,Self Ship,2100.51,0,5,0,2105.51,378.99,24150.83,UPI,success,3,delivered,no,0,0,,0
AMZ-IN-400033,19-07-2024 01:59,CUST-001800,1,AMZ-SEL-00312,Brand/Manufacturer,Individual,Mumbai,Tier 1,Toys & Baby,1,2016.23,FBA,241.95,55,5,0,301.95,54.35,1714.28,Debit Card,success,3,delivered,no,0,0,,0
AMZ-IN-400034,25-09-2024 21:01,CUST-001991,1,AMZ-SEL-01105,D2C Brand,Professional,Delhi,Tier 1,Books & Media,1,1999,FBA,79.96,55,18,0,152.96,27.53,1846.04,Credit Card,success,2,delivered,no,0,0,fake_invoice_gst_fraud,61.01
AMZ-IN-400035,05-07-2024 17:00,CUST-002205,1,AMZ-SEL-01855,D2C Brand,Professional,Hyderabad,Tier 1,Electronics,1,25902.21,FBA,2072.18,45,18,0,2135.18,384.33,23767.03,Net Banking,success,1,delivered,no,0,0,,0
AMZ-IN-400036,11-10-2024 16:30,CUST-005910,1,AMZ-SEL-00933,D2C Brand,Professional,Mumbai,Tier 1,Beauty & Personal,1,1154.34,Self Ship,138.52,0,5,0,143.52,25.83,1010.82,Credit Card,success,2,delivered,no,0,0,,0
AMZ-IN-400037,21-12-2024 18:07,CUST-001775,1,AMZ-SEL-01287,Brand/Manufacturer,Professional,Visakhapatnam,Tier 3,Toys & Baby,1,765.24,FBA,91.83,45,18,0,154.83,27.87,610.41,Credit Card,success,7,rto,processed,765.24,0,,0
AMZ-IN-400038,22-11-2024 21:16,CUST-004960,0,AMZ-SEL-01060,Reseller,Individual,Delhi,Tier 1,Electronics,1,19640.36,FBA,1571.23,45,12,0,1628.23,293.08,18012.13,Debit Card,success,12,delivered,no,0,0,,0
AMZ-IN-400039,20-06-2024 14:43,CUST-004067,0,AMZ-SEL-00948,D2C Brand,Professional,Delhi,Tier 1,Sports & Outdoors,1,12999,Easy Ship,1169.91,0,8,65,1242.91,223.72,11756.09,Credit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400040,09-05-2024 13:39,CUST-002308,1,AMZ-SEL-01510,Distributor,Professional,Nagpur,Tier 2,Grocery & Food,1,834.29,FBA,41.71,45,5,0,91.71,16.51,742.58,Credit Card,success,1,delivered,no,0,0,return_abuse,747.69
AMZ-IN-400041,23-02-2024 12:37,CUST-000660,0,AMZ-SEL-00177,Distributor,Professional,Mumbai,Tier 1,Fashion & Apparel,1,1426.76,FBA,214.01,80,5,0,299.01,53.82,1127.75,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400042,11-12-2024 23:27,CUST-005627,0,AMZ-SEL-00419,Distributor,Professional,Gurgaon,Tier 1,Fashion & Apparel,1,791.2,Self Ship,118.68,0,8,0,126.68,22.8,664.52,Credit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400043,11-06-2024 10:23,CUST-000470,0,AMZ-SEL-01783,Reseller,Professional,Vadodara,Tier 2,Grocery & Food,1,1146.01,Self Ship,57.3,0,2,0,59.3,10.67,1086.71,UPI,success,7,delivered,no,0,0,,0
AMZ-IN-400044,15-10-2024 13:40,CUST-004723,1,AMZ-SEL-00859,Reseller,Professional,Vadodara,Tier 2,Toys & Baby,1,2816.58,Easy Ship,337.99,0,5,50,392.99,70.74,2423.59,Amazon Pay,success,5,delivered,no,0,0,,0
AMZ-IN-400045,10-08-2024 03:22,CUST-003733,1,AMZ-SEL-01271,Distributor,Professional,Noida,Tier 1,Beauty & Personal,1,2284.08,FBA,274.09,29,8,0,311.09,56,1972.99,UPI,success,5,returned,processed,2284.08,0,fba_reimbursement_fraud,61.58
AMZ-IN-400046,28-11-2024 10:29,CUST-000684,1,AMZ-SEL-01036,Distributor,Professional,Surat,Tier 2,Fashion & Apparel,2,9998,FBA,1499.7,90,8,0,1597.7,287.59,8400.3,Debit Card,success,2,returned,processed,9998,0,,0
AMZ-IN-400047,07-10-2024 07:37,CUST-000005,1,AMZ-SEL-00034,D2C Brand,Individual,Jaipur,Tier 2,Beauty & Personal,1,2083.72,FBA,250.05,35,12,0,297.05,53.47,1786.67,Credit Card,success,2,delivered,no,0,0,return_abuse,1895.27
AMZ-IN-400048,12-11-2024 09:14,CUST-001694,0,AMZ-SEL-01869,Brand/Manufacturer,Professional,Vadodara,Tier 2,Fashion & Apparel,1,4271.65,Easy Ship,640.75,0,12,65,717.75,129.2,3553.9,UPI,success,2,delivered,no,0,0,,0
AMZ-IN-400049,06-06-2024 11:28,CUST-000518,0,AMZ-SEL-01143,Distributor,Professional,Bangalore,Tier 1,Sports & Outdoors,1,7251.6,Easy Ship,652.64,0,2,60,714.64,128.64,6536.96,Debit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400050,06-10-2024 16:11,CUST-000021,1,AMZ-SEL-00875,Brand/Manufacturer,Individual,Bangalore,Tier 1,Home & Kitchen,1,6584.86,Easy Ship,658.49,0,5,75,738.49,132.93,5846.37,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400051,21-12-2024 09:42,CUST-002070,1,AMZ-SEL-01311,Brand/Manufacturer,Professional,Patna,Tier 3,Fashion & Apparel,1,2425.94,FBA,363.89,55,12,0,430.89,77.56,1995.05,COD,success,2,delivered,no,0,0,,0
AMZ-IN-400052,23-10-2024 11:45,CUST-000271,0,AMZ-SEL-01601,Brand/Manufacturer,Professional,Jaipur,Tier 2,Grocery & Food,3,8997,FBA,449.85,165,12,0,626.85,112.83,8370.15,Debit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400053,04-05-2024 17:04,CUST-003457,0,AMZ-SEL-00988,Reseller,Professional,Delhi,Tier 1,Home & Kitchen,2,20610.06,FBA,2061.01,130,25,0,2216.01,398.88,18394.05,Debit Card,success,7,delivered,processed,16799.92,0,,0
AMZ-IN-400054,03-07-2024 06:49,CUST-005269,1,AMZ-SEL-01202,Brand/Manufacturer,Professional,Bangalore,Tier 1,Electronics,1,89999,Easy Ship,7199.92,0,5,50,7254.92,1305.89,82744.08,Credit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400055,28-06-2024 09:37,CUST-005769,0,AMZ-SEL-01564,Reseller,Professional,Hyderabad,Tier 1,Home & Kitchen,1,4941.84,Self Ship,494.18,0,8,0,502.18,90.39,4439.66,UPI,success,10,delivered,no,0,0,,0
AMZ-IN-400056,23-10-2024 09:12,CUST-005047,1,AMZ-SEL-00926,Brand/Manufacturer,Individual,Mumbai,Tier 1,Fashion & Apparel,1,1646.7,Easy Ship,247,0,5,50,302,54.36,1344.7,Credit Card,success,5,delivered,no,0,0,referral_fee_miscalculation,68.16
AMZ-IN-400057,18-12-2024 05:51,CUST-002202,1,AMZ-SEL-01594,Brand/Manufacturer,Professional,Bangalore,Tier 1,Beauty & Personal,1,1591.21,Easy Ship,190.95,0,2,60,252.95,45.53,1338.26,Debit Card,success,3,delivered,no,0,0,,0
AMZ-IN-400058,23-07-2024 08:30,CUST-000988,0,AMZ-SEL-01215,Distributor,Professional,Delhi,Tier 1,Fashion & Apparel,1,2388.83,Easy Ship,358.32,0,2,65,425.32,76.56,1963.51,Net Banking,success,2,delivered,no,0,0,,0
AMZ-IN-400059,26-08-2024 11:58,CUST-001889,0,AMZ-SEL-01169,Brand/Manufacturer,Individual,Noida,Tier 1,Books & Media,1,1088.03,Self Ship,43.52,0,8,0,51.52,9.27,1036.51,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400060,27-03-2024 20:46,CUST-004092,0,AMZ-SEL-00444,Reseller,Individual,Delhi,Tier 1,Fashion & Apparel,1,1656.99,Easy Ship,248.55,0,5,50,303.55,54.64,1353.44,COD,success,3,delivered,no,0,0,,0
AMZ-IN-400061,27-06-2024 18:17,CUST-004178,0,AMZ-SEL-01068,Brand/Manufacturer,Individual,Hyderabad,Tier 1,Electronics,1,24539.61,FBA,1963.17,80,8,0,2051.17,369.21,22488.44,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400062,09-07-2024 12:35,CUST-000295,1,AMZ-SEL-01144,Reseller,Professional,Patna,Tier 3,Toys & Baby,2,3070.42,FBA,368.45,130,12,0,510.45,91.88,2559.97,Net Banking,success,1,delivered,no,0,0,,0
AMZ-IN-400063,04-02-2024 17:28,CUST-000631,1,AMZ-SEL-00680,D2C Brand,Professional,Jaipur,Tier 2,Home & Kitchen,1,14999,Self Ship,1499.9,0,5,0,1504.9,270.88,13494.1,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400064,18-01-2024 09:31,CUST-002649,0,AMZ-SEL-00760,Distributor,Professional,Hyderabad,Tier 1,Fashion & Apparel,1,361.88,FBA,54.28,29,12,0,95.28,17.15,266.6,UPI,success,4,delivered,no,0,0,,0
AMZ-IN-400065,13-07-2024 10:55,CUST-001277,1,AMZ-SEL-01193,Reseller,Individual,Bangalore,Tier 1,Books & Media,1,1167.45,Easy Ship,46.7,0,5,60,111.7,20.11,1055.75,Debit Card,success,3,delivered,no,0,0,,0
AMZ-IN-400066,19-08-2024 12:13,CUST-001162,1,AMZ-SEL-01257,Brand/Manufacturer,Professional,Hyderabad,Tier 1,Home & Kitchen,2,11317.79,FBA,1131.78,90,12,0,1233.78,222.08,10084.01,COD,success,1,delivered,no,0,0,,0
AMZ-IN-400067,02-08-2024 17:17,CUST-001495,0,AMZ-SEL-01837,Brand/Manufacturer,Individual,Patna,Tier 3,Sports & Outdoors,1,1328.21,Easy Ship,119.54,0,2,75,196.54,35.38,0,Debit Card,failed,3,delivered,no,0,0,,0
AMZ-IN-400068,04-12-2024 16:38,CUST-004832,1,AMZ-SEL-00691,Reseller,Professional,Nagpur,Tier 2,Books & Media,1,1153.65,FBA,46.15,45,25,0,116.15,20.91,1037.5,UPI,success,3,delivered,no,0,0,,0
AMZ-IN-400069,25-11-2024 11:28,CUST-004168,0,AMZ-SEL-00352,D2C Brand,Individual,Nagpur,Tier 2,Toys & Baby,1,2369.72,FBA,284.37,29,18,0,331.37,59.65,2038.35,Credit Card,success,4,delivered,no,0,0,,0
AMZ-IN-400070,07-04-2024 11:04,CUST-004252,0,AMZ-SEL-01978,Reseller,Professional,Coimbatore,Tier 2,Books & Media,1,401.28,Easy Ship,16.05,0,5,50,71.05,12.79,330.23,UPI,success,10,delivered,no,0,0,,0
AMZ-IN-400071,05-11-2024 21:30,CUST-004365,0,AMZ-SEL-00484,Reseller,Professional,Vadodara,Tier 2,Electronics,1,87571.97,FBA,7005.76,29,18,0,7052.76,1269.5,0,Credit Card,failed,4,delivered,no,0,0,,0
AMZ-IN-400072,23-12-2024 15:24,CUST-003998,0,AMZ-SEL-00959,Brand/Manufacturer,Professional,Noida,Tier 1,Electronics,1,8405.04,Self Ship,672.4,0,2,0,674.4,121.39,7730.64,Debit Card,success,4,delivered,no,0,0,,0
AMZ-IN-400073,04-06-2024 16:49,CUST-004719,0,AMZ-SEL-01127,Brand/Manufacturer,Professional,Kolkata,Tier 1,Toys & Baby,1,1539.96,FBA,184.8,55,25,0,264.8,47.66,1275.16,Credit Card,success,12,delivered,no,0,0,,0
AMZ-IN-400074,14-02-2024 11:40,CUST-005841,0,AMZ-SEL-00819,Brand/Manufacturer,Professional,Kolkata,Tier 1,Sports & Outdoors,1,2175.51,FBA,195.8,35,12,0,242.8,43.7,1932.71,Credit Card,success,4,delivered,no,0,0,,0
AMZ-IN-400075,19-01-2024 20:42,CUST-003604,0,AMZ-SEL-00649,Distributor,Professional,Chennai,Tier 1,Automotive,1,2849.59,Self Ship,284.96,0,2,0,286.96,51.65,2562.63,UPI,success,4,delivered,no,0,0,return_abuse,2585.66
AMZ-IN-400076,13-06-2024 12:54,CUST-002210,1,AMZ-SEL-00624,Reseller,Individual,Kochi,Tier 2,Electronics,1,77909.71,Easy Ship,6232.78,0,12,50,6294.78,1133.06,71614.93,Credit Card,success,7,delivered,no,0,0,,0
AMZ-IN-400077,13-11-2024 11:26,CUST-001140,0,AMZ-SEL-01437,Reseller,Professional,Bangalore,Tier 1,Sports & Outdoors,1,4803.93,Self Ship,432.35,0,8,0,440.35,79.26,4363.58,Credit Card,success,3,delivered,no,0,0,,0
AMZ-IN-400078,04-12-2024 17:53,CUST-000175,0,AMZ-SEL-01158,D2C Brand,Professional,Lucknow,Tier 2,Toys & Baby,1,2131.74,Easy Ship,255.81,0,5,65,325.81,58.65,1805.93,Amazon Pay,success,12,delivered,processed,2047.94,0,,0
AMZ-IN-400079,05-10-2024 19:32,CUST-003072,0,AMZ-SEL-01628,Reseller,Individual,Delhi,Tier 1,Beauty & Personal,1,2420.16,FBA,290.42,55,12,0,357.42,64.34,2062.74,Amazon Pay,success,4,delivered,no,0,0,,0
AMZ-IN-400080,27-08-2024 05:35,CUST-000934,0,AMZ-SEL-00575,D2C Brand,Professional,Indore,Tier 2,Beauty & Personal,1,1102.69,FBA,132.32,45,5,0,182.32,32.82,920.37,UPI,success,4,delivered,no,0,0,,0
AMZ-IN-400081,18-07-2024 20:38,CUST-000542,0,AMZ-SEL-01938,Distributor,Professional,Jaipur,Tier 2,Beauty & Personal,2,7069.32,Easy Ship,848.32,0,8,120,976.32,175.74,6093,Credit Card,success,4,delivered,no,0,0,,0
AMZ-IN-400082,18-12-2024 08:39,CUST-001837,0,AMZ-SEL-00378,Brand/Manufacturer,Individual,Indore,Tier 2,Books & Media,1,467.69,Easy Ship,18.71,0,12,65,95.71,17.23,371.98,UPI,success,7,delivered,no,0,0,,0
AMZ-IN-400083,02-05-2024 19:57,CUST-003937,0,AMZ-SEL-00399,Distributor,Professional,Chennai,Tier 1,Beauty & Personal,1,2351.73,FBA,282.21,80,8,0,370.21,66.64,1981.52,Amazon Pay,success,5,delivered,no,0,0,,0
AMZ-IN-400084,10-02-2024 17:50,CUST-002789,0,AMZ-SEL-00781,Distributor,Professional,Hyderabad,Tier 1,Automotive,1,2016.5,Self Ship,201.65,0,5,0,206.65,37.2,1809.85,Debit Card,success,3,delivered,no,0,0,,0
AMZ-IN-400085,14-07-2024 02:07,CUST-004493,0,AMZ-SEL-00938,D2C Brand,Professional,Chandigarh,Tier 2,Books & Media,1,1096.78,Easy Ship,43.87,0,5,65,113.87,20.5,982.91,Debit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400086,08-05-2024 17:17,CUST-002747,0,AMZ-SEL-01229,D2C Brand,Professional,Mumbai,Tier 1,Beauty & Personal,1,1602.71,Easy Ship,192.33,0,2,50,244.33,43.98,1358.38,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400087,17-11-2024 19:05,CUST-003609,1,AMZ-SEL-01668,D2C Brand,Professional,Nagpur,Tier 2,Electronics,1,34733.61,Easy Ship,2778.69,0,5,60,2843.69,511.86,31889.92,Credit Card,success,4,delivered,no,0,0,,0
AMZ-IN-400088,07-12-2024 15:21,CUST-000775,1,AMZ-SEL-00360,Reseller,Professional,Coimbatore,Tier 2,Fashion & Apparel,1,1213.19,FBA,181.98,65,8,0,254.98,45.9,958.21,Amazon Pay,success,10,delivered,no,0,0,,0
AMZ-IN-400089,18-06-2024 16:52,CUST-002446,0,AMZ-SEL-00294,Reseller,Professional,Mumbai,Tier 1,Automotive,1,3940.44,Easy Ship,394.04,0,5,60,459.04,82.63,3481.4,UPI,success,4,delivered,no,0,0,,0
AMZ-IN-400090,11-11-2024 02:45,CUST-004981,0,AMZ-SEL-00039,Distributor,Professional,Delhi,Tier 1,Electronics,1,34392.36,FBA,2751.39,55,12,0,2818.39,507.31,31573.97,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400091,24-06-2024 19:32,CUST-003755,1,AMZ-SEL-01804,Reseller,Individual,Chennai,Tier 1,Automotive,1,3341.14,FBA,334.11,55,12,0,401.11,72.2,2940.03,UPI,success,3,delivered,no,0,0,,0
AMZ-IN-400092,13-04-2024 10:05,CUST-002165,1,AMZ-SEL-00458,Reseller,Professional,Hyderabad,Tier 1,Sports & Outdoors,2,18092.59,FBA,1628.33,90,5,0,1723.33,310.2,16369.26,Amazon Pay,success,1,delivered,no,0,0,,0
AMZ-IN-400093,22-10-2024 23:44,CUST-000100,1,AMZ-SEL-00039,Distributor,Professional,Chennai,Tier 1,Fashion & Apparel,1,1061.43,Easy Ship,159.21,0,8,50,217.21,39.1,844.22,Amazon Pay,success,4,delivered,no,0,0,,0
AMZ-IN-400094,27-11-2024 18:09,CUST-001249,0,AMZ-SEL-01659,Reseller,Professional,Chennai,Tier 1,Sports & Outdoors,1,2740,Easy Ship,246.6,0,2,75,323.6,58.25,2416.4,Credit Card,success,7,delivered,no,0,0,,0
AMZ-IN-400095,10-11-2024 12:32,CUST-005167,0,AMZ-SEL-00978,Brand/Manufacturer,Professional,Nagpur,Tier 2,Grocery & Food,1,1172.82,Easy Ship,58.64,0,5,50,113.64,20.46,1059.18,UPI,success,3,delayed,no,0,0,,0
AMZ-IN-400096,22-11-2024 15:57,CUST-004479,0,AMZ-SEL-01412,Brand/Manufacturer,Professional,Noida,Tier 1,Home & Kitchen,1,9914.48,FBA,991.45,80,18,0,1089.45,196.1,8825.03,Credit Card,success,10,delivered,no,0,0,,0
AMZ-IN-400097,19-12-2024 10:30,CUST-002903,1,AMZ-SEL-00493,Reseller,Individual,Pune,Tier 1,Fashion & Apparel,1,2349.72,Self Ship,352.46,0,2,0,354.46,63.8,1995.26,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400098,12-05-2024 10:50,CUST-002769,0,AMZ-SEL-01369,Brand/Manufacturer,Professional,Kochi,Tier 2,Electronics,3,83779.88,Self Ship,6702.39,0,2,0,6704.39,1206.79,0,UPI,failed,3,delivered,no,0,0,,0
AMZ-IN-400099,04-12-2024 20:55,CUST-001550,1,AMZ-SEL-01360,Reseller,Professional,Delhi,Tier 1,Electronics,1,12528.05,Self Ship,1002.24,0,8,0,1010.24,181.84,11517.81,Debit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400100,12-11-2024 06:09,CUST-004471,1,AMZ-SEL-01524,Brand/Manufacturer,Professional,Mumbai,Tier 1,Fashion & Apparel,2,2027.71,Self Ship,304.16,0,2,0,306.16,55.11,1721.55,Debit Card,success,7,delivered,no,0,0,,0
AMZ-IN-400101,22-05-2024 12:48,CUST-005322,0,AMZ-SEL-01798,Brand/Manufacturer,Professional,Mysore,Tier 3,Home & Kitchen,1,6030.87,FBA,603.09,45,12,0,660.09,118.82,5370.78,Credit Card,success,3,delivered,no,0,0,,0
